datetime,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.id,weather.main,weather.description,weather.icon,extraction_date_time,city_name,sys.type,sys.id,rain.1h,date,time,hour
2023-11-07 06:01:48+08:00,10000.0,123.6402,10.1061,26.98,29.79,26.98,26.98,1011.0,81.0,1011.0,1010.0,2.16,14.0,2.61,84.0,2023-11-07 05:37:21+08:00,2023-11-07 17:20:49+08:00,501.0,Rain,moderate rain,10d,2023-11-07 06:01:48.235324+08:00,Carcar,1.0,8187.0,1.4,2023-11-07,06:01:48,6
2023-11-07 06:04:55+08:00,10000.0,123.1583,9.5153,27.01,29.76,27.01,27.01,1011.0,80.0,1011.0,1010.0,1.22,28.0,1.74,67.0,2023-11-07 05:38:35+08:00,2023-11-07 17:23:26+08:00,500.0,Rain,light rain,10d,2023-11-07 06:04:55.170576+08:00,Tanjay,1.0,8185.0,0.15,2023-11-07,06:04:55,6
2023-11-07 12:01:26+08:00,10000.0,123.6402,10.1061,29.98,35.48,29.98,29.98,1010.0,72.0,1010.0,1009.0,4.41,18.0,4.7,100.0,2023-11-07 05:37:21+08:00,2023-11-07 17:20:49+08:00,501.0,Rain,moderate rain,10d,2023-11-07 12:01:26.899641+08:00,Carcar,1.0,8187.0,3.92,2023-11-07,12:01:26,12
2023-11-07 12:01:39+08:00,10000.0,122.65,11.15,27.57,30.08,27.57,27.57,1010.0,72.0,1010.0,1004.0,4.5,29.0,5.92,94.0,2023-11-07 05:42:33+08:00,2023-11-07 17:23:32+08:00,501.0,Rain,moderate rain,10d,2023-11-07 12:01:39.874755+08:00,City of Passi,2.0,2073369.0,2.51,2023-11-07,12:01:39,12
2023-11-07 12:04:47+08:00,10000.0,123.6333,10.3833,30.05,35.16,30.0,30.05,1010.0,70.0,1010.0,1010.0,3.29,23.0,4.19,100.0,2023-11-07 05:37:42+08:00,2023-11-07 17:20:31+08:00,500.0,Rain,light rain,10d,2023-11-07 12:04:47.845389+08:00,Toledo City,1.0,8187.0,0.86,2023-11-07,12:04:47,12
2023-11-08 00:00:14+08:00,10000.0,125.6842,7.3081,27.06,31.02,27.06,27.06,1009.0,91.0,1009.0,1009.0,1.97,338.0,2.52,87.0,2023-11-08 05:26:07+08:00,2023-11-08 17:15:49+08:00,500.0,Rain,light rain,10n,2023-11-08 00:03:57.345545+08:00,Panabo,1.0,8154.0,0.12,2023-11-08,00:00:14,0
2023-11-08 00:01:31+08:00,10000.0,121.1653,14.2117,27.59,32.19,27.21,27.97,1011.0,88.0,1011.0,1010.0,4.31,86.0,9.4,100.0,2023-11-08 05:52:33+08:00,2023-11-08 17:25:33+08:00,500.0,Rain,light rain,10n,2023-11-08 00:01:31.088001+08:00,Calamba,2.0,2084056.0,0.12,2023-11-08,00:01:31,0
2023-11-08 00:05:00+08:00,10000.0,121.5911,14.0289,24.94,25.92,24.94,24.94,1012.0,93.0,1012.0,989.0,3.16,35.0,7.56,100.0,2023-11-08 05:50:37+08:00,2023-11-08 17:24:05+08:00,501.0,Rain,moderate rain,10n,2023-11-08 00:05:00.840286+08:00,Tayabas,2.0,2011004.0,3.16,2023-11-08,00:05:00,0
2023-11-08 06:00:42+08:00,10000.0,123.1228,9.5911,26.99,31.02,26.99,26.99,1010.0,93.0,1010.0,1009.0,1.98,63.0,2.31,98.0,2023-11-08 05:39:05+08:00,2023-11-08 17:23:21+08:00,500.0,Rain,light rain,10d,2023-11-08 06:00:42.886839+08:00,Bais,1.0,8185.0,0.5,2023-11-08,06:00:42,6
2023-11-08 06:01:42+08:00,10000.0,123.6402,10.1061,26.98,30.17,26.98,26.98,1009.0,85.0,1009.0,1008.0,4.51,49.0,6.22,100.0,2023-11-08 05:37:38+08:00,2023-11-08 17:20:39+08:00,501.0,Rain,moderate rain,10d,2023-11-08 06:01:42.216519+08:00,Carcar,1.0,8187.0,1.97,2023-11-08,06:01:42,6
2023-11-08 06:02:06+08:00,9685.0,124.0272,10.5208,26.09,26.09,26.09,27.03,1010.0,95.0,1010.0,1010.0,1.79,312.0,2.68,100.0,2023-11-08 05:36:35+08:00,2023-11-08 17:18:37+08:00,500.0,Rain,light rain,10d,2023-11-08 06:02:06.365116+08:00,Danao,2.0,2089763.0,0.88,2023-11-08,06:02:06,6
2023-11-08 06:05:06+08:00,10000.0,123.1583,9.5153,27.01,31.09,27.01,27.01,1010.0,93.0,1010.0,1009.0,1.98,63.0,2.31,98.0,2023-11-08 05:38:51+08:00,2023-11-08 17:23:18+08:00,500.0,Rain,light rain,10d,2023-11-08 06:05:06.544113+08:00,Tanjay,1.0,8185.0,0.5,2023-11-08,06:05:06,6
2023-11-08 06:05:13+08:00,10000.0,123.6333,10.3833,27.05,30.56,26.11,27.05,1010.0,87.0,1010.0,1010.0,2.7,39.0,4.71,100.0,2023-11-08 05:38:00+08:00,2023-11-08 17:20:21+08:00,501.0,Rain,moderate rain,10d,2023-11-08 06:05:13.152119+08:00,Toledo City,1.0,8187.0,1.2,2023-11-08,06:05:13,6
2023-11-08 12:00:38+08:00,10000.0,120.5361,14.6761,28.03,30.21,28.03,29.51,1011.0,66.0,1011.0,1010.0,5.88,77.0,8.7,84.0,2023-11-08 05:55:38+08:00,2023-11-08 17:27:30+08:00,500.0,Rain,light rain,10d,2023-11-08 12:00:38.964497+08:00,Balanga,1.0,8151.0,0.21,2023-11-08,12:00:38,12
2023-11-08 12:01:40+08:00,10000.0,122.65,11.15,24.79,25.6,24.79,24.79,1011.0,87.0,1011.0,1005.0,2.47,59.0,4.19,100.0,2023-11-08 05:42:52+08:00,2023-11-08 17:23:22+08:00,501.0,Rain,moderate rain,10d,2023-11-08 12:01:40.668707+08:00,City of Passi,2.0,2073369.0,3.62,2023-11-08,12:01:40,12
2023-11-08 12:01:48+08:00,10000.0,124.0272,10.5208,27.76,33.0,27.76,30.03,1010.0,90.0,1010.0,1010.0,2.24,16.0,3.13,100.0,2023-11-08 05:36:35+08:00,2023-11-08 17:18:37+08:00,501.0,Rain,moderate rain,10d,2023-11-08 12:01:48.220660+08:00,Danao,2.0,2089763.0,2.51,2023-11-08,12:01:48,12
2023-11-08 12:03:35+08:00,10000.0,125.6842,7.3081,30.06,36.73,30.06,30.06,1008.0,76.0,1008.0,1008.0,2.31,31.0,2.77,100.0,2023-11-08 05:26:07+08:00,2023-11-08 17:15:49+08:00,500.0,Rain,light rain,10d,2023-11-08 12:03:36.159594+08:00,Panabo,1.0,8154.0,0.16,2023-11-08,12:03:35,12
2023-11-08 18:01:41+08:00,10000.0,122.65,11.15,24.23,25.06,24.23,24.23,1009.0,90.0,1009.0,1003.0,2.11,348.0,3.04,100.0,2023-11-08 05:42:52+08:00,2023-11-08 17:23:22+08:00,500.0,Rain,light rain,10n,2023-11-08 18:01:41.980506+08:00,City of Passi,2.0,2073369.0,0.27,2023-11-08,18:01:41,18
2023-11-11 18:00:40+08:00,10000.0,121.05,13.75,26.17,26.17,26.17,26.17,1011.0,82.0,1011.0,1010.0,3.3,84.0,5.01,77.0,2023-11-11 05:53:38+08:00,2023-11-11 17:25:58+08:00,500.0,Rain,light rain,10n,2023-11-11 18:00:40.852925+08:00,Batangas City,2.0,2011004.0,0.14,2023-11-11,18:00:40,18
2023-11-11 18:01:09+08:00,10000.0,121.1653,14.2117,28.72,34.17,28.32,29.97,1012.0,81.0,1012.0,1010.0,3.88,76.0,7.57,96.0,2023-11-11 05:53:46+08:00,2023-11-11 17:24:54+08:00,500.0,Rain,light rain,10n,2023-11-11 18:01:09.948332+08:00,Calamba,2.0,2084056.0,0.12,2023-11-11,18:01:09,18
2023-11-12 00:01:36+08:00,10000.0,121.1262,14.2726,27.12,31.78,26.06,28.36,1013.0,96.0,1013.0,1012.0,4.42,73.0,8.78,100.0,2023-11-12 05:54:26+08:00,2023-11-12 17:24:48+08:00,500.0,Rain,light rain,10n,2023-11-12 00:01:36.985968+08:00,Cabuyao,2.0,2084056.0,0.17,2023-11-12,00:01:36,0
2023-11-13 12:01:23+08:00,10000.0,121.1262,14.2726,30.22,35.33,29.95,30.59,1013.0,69.0,1013.0,1011.0,6.63,66.0,9.86,95.0,2023-11-13 05:54:52+08:00,2023-11-13 17:24:38+08:00,500.0,Rain,light rain,10d,2023-11-13 12:01:24.460458+08:00,Cabuyao,2.0,2084056.0,0.66,2023-11-13,12:01:23,12
2023-11-13 12:01:33+08:00,10000.0,121.1653,14.2117,30.16,34.94,29.95,32.25,1013.0,68.0,1013.0,1011.0,6.31,63.0,9.63,91.0,2023-11-13 05:54:38+08:00,2023-11-13 17:24:34+08:00,501.0,Rain,moderate rain,10d,2023-11-13 12:01:33.388795+08:00,Calamba,2.0,2084056.0,2.64,2023-11-13,12:01:33,12
2023-11-13 18:01:56+08:00,10000.0,120.9367,14.3294,27.05,29.85,26.25,27.84,1013.0,80.0,1013.0,1003.0,5.28,76.0,9.62,100.0,2023-11-13 05:55:42+08:00,2023-11-13 17:25:19+08:00,500.0,Rain,light rain,10n,2023-11-13 18:01:56.964100+08:00,Dasmariñas,2.0,2084056.0,0.21,2023-11-13,18:01:56,18
2023-11-13 18:02:52+08:00,10000.0,121.1667,13.95,23.59,24.28,23.59,23.59,1013.0,87.0,1013.0,977.0,3.18,49.0,8.21,100.0,2023-11-13 05:54:16+08:00,2023-11-13 17:24:55+08:00,500.0,Rain,light rain,10n,2023-11-13 18:02:52.752566+08:00,Lipa City,2.0,2011004.0,0.65,2023-11-13,18:02:52,18
2023-11-13 18:04:39+08:00,10000.0,121.1498,14.0863,27.36,31.03,25.8,27.43,1013.0,84.0,1013.0,996.0,4.13,60.0,9.82,100.0,2023-11-13 05:54:31+08:00,2023-11-13 17:24:48+08:00,500.0,Rain,light rain,10n,2023-11-13 18:04:39.649198+08:00,Tanauan,2.0,2084056.0,0.24,2023-11-13,18:04:39,18
2023-11-14 00:00:53+08:00,10000.0,121.05,13.75,25.62,26.48,25.62,25.62,1014.0,86.0,1014.0,1013.0,2.51,62.0,4.3,100.0,2023-11-14 05:54:54+08:00,2023-11-14 17:25:31+08:00,500.0,Rain,light rain,10n,2023-11-14 00:00:53.893273+08:00,Batangas City,2.0,2011004.0,0.57,2023-11-14,00:00:53,0
2023-11-14 00:01:17+08:00,10000.0,121.1262,14.2726,27.23,31.64,26.62,28.36,1014.0,92.0,1014.0,1012.0,2.81,50.0,5.5,73.0,2023-11-14 05:55:19+08:00,2023-11-14 17:24:30+08:00,501.0,Rain,moderate rain,10n,2023-11-14 00:01:17.872558+08:00,Cabuyao,2.0,2084056.0,2.27,2023-11-14,00:01:17,0
2023-11-14 00:01:25+08:00,10000.0,121.1653,14.2117,26.93,29.5,26.62,27.97,1014.0,79.0,1014.0,1013.0,5.38,71.0,10.0,99.0,2023-11-14 05:55:05+08:00,2023-11-14 17:24:25+08:00,501.0,Rain,moderate rain,10n,2023-11-14 00:01:25.745468+08:00,Calamba,2.0,2084056.0,3.16,2023-11-14,00:01:25,0
2023-11-14 00:02:08+08:00,10000.0,120.9367,14.3294,26.83,30.16,26.18,27.93,1014.0,89.0,1014.0,1005.0,4.85,65.0,9.02,90.0,2023-11-14 05:56:09+08:00,2023-11-14 17:25:10+08:00,500.0,Rain,light rain,10n,2023-11-14 00:02:08.527356+08:00,Dasmariñas,2.0,2084056.0,0.32,2023-11-14,00:02:08,0
2023-11-14 00:02:27+08:00,10000.0,120.8817,14.3869,27.3,31.23,26.59,28.34,1014.0,87.0,1014.0,1012.0,5.09,59.0,8.73,86.0,2023-11-14 05:56:27+08:00,2023-11-14 17:25:19+08:00,500.0,Rain,light rain,10n,2023-11-14 00:02:27.755699+08:00,General Trias,2.0,2084056.0,0.17,2023-11-14,00:02:27,0
